"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","SERP impressions","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"домашние пельмени цена","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"блинов киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"столовая калинина киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"доставка еды в выходные киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"лапша удон киров доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"где купить лапшу для удона киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"киров без трубами на блины","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"пицца киров с семгой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пельменная киров на московской","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"где в чижах покушать суп киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"блины кировской области в контакте","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"суп на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"толмачевские пельмени киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"где вкусные сырные палки с доставкой киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка еды киров куриный суп","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"супы круглосуточная доставка киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"три медведя доставка еды","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пельмени от петровича киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","25.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","25.00",""
"вкусно блин цены","2019-07-01 - 2019-09-09","1.00","1.00","100.00","3.00","3.00","0.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"самый вкусный чизкейк в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказать вкусные роллы с бесплатной доставкой киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"вятский чебурек доставка киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"доставка суп на дом","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"шумовка номер телефона","2019-07-01 - 2019-09-09","1.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"доставка детской еды на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"горячие супы доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"где купить пельмени кировского","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказать чизкейк у полины филимоновой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказать куриный суп на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","1.00","","0.00","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"доставка мяса готового киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"rbhjd ljcnfdrb tls","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказ киров еда","2019-07-01 - 2019-09-09","1.00","0.00","0.00","23.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","23.00",""
"чизкейк заказать киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"акция хочу чебурек киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пельмени киров производство","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"заказать пельмени с доставкой в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"кирова 40 доставка еды","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"пельмени как раньше киров купить","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"заказать роллы в кирове на дом сушилка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","50.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","50.00",""
"доставка еды цезарь","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать лапша","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"замороженные чебуреки киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка выпечки на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","27.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","27.00",""
"еда киров доставка на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"доставка еды в кирове круглосуточно","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"быстро и вкусно чебуреки заказать","2019-07-01 - 2019-09-09","1.00","0.00","0.00","1.00","","0.00","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказать вкусные роллы киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"кировский салат","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"кресло чебурек в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"удон с курицей и овощами заказать в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"доставка салат киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","2.00","2.00","0.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"квашнин 43","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"чизкейчечная киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"салаты киров магазины","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"кофейня , десерты киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать вкусные роллы с бесплатной доставкой на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"полечек пельмени киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"управление стиральной супов по кировской области московской","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"роллы доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"кухня доставки готовой еды","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"миа куста пицца киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров акции на пельмени","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"где купить в кирове пельмени фирмы мечта","2019-07-01 - 2019-09-09","1.00","0.00","0.00","17.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"вкусные чебуреки киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"супчик доставка еды на дом из столовых кирова","2019-07-01 - 2019-09-09","1.00","1.00","100.00","3.00","3.00","0.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"сайт вкусно блин киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказать еду\","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"лапша киров заказать","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказ еды киров на дом на целый день","2019-07-01 - 2019-09-09","1.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"йола маркет киров пельмени с курицей","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"поесть киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","41.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","41.00",""
"заказать пиво на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","34.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","34.00",""
"заказ обедов с доставкой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"доставка лапши wok","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"шумовка киров калинина 40 акции","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказ блинов на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"роллы филадельфия в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"пивные тарелки в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"кафе киров калинина","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"роллы в кирове заказать","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"что заказать в кирове из еды","2019-07-01 - 2019-09-09","1.00","0.00","0.00","17.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"доставка еды от 300 рублей","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"меню пицца","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"дом еды киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"доставка пиццы и роллов киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","27.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","27.00",""
"доставка роллов и лапши","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"какие пельмени в кирове хорошие","2019-07-01 - 2019-09-09","1.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"шуберт еда 43","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"закажите","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"ооо супчик киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"роллы пицца киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","26.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","26.00",""
"тяхан киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","1.00","1.00","0.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказать вкусные роллы с доставкой","2019-07-01 - 2019-09-09","1.00","0.00","0.00","1.00","","0.00","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказать доставку на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"купить чебуреки по акции в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"где заказать суп","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров гренки улица","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"чебуреки с центрального рынка г. киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","4.00","4.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"меню онлайн киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"поесть в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","40.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","40.00",""
"доставка чебуреки киров","2019-07-01 - 2019-09-09","1.00","1.00","100.00","4.00","4.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"еда бесплатно киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"www.foodcity43.ru","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"кафе шумовка юридическое лицо","2019-07-01 - 2019-09-09","1.00","0.00","0.00","1.00","","0.00","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"суп доставка на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"лапша г","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"готовые блюда на дом","2019-07-01 - 2019-09-09","1.00","0.00","0.00","13.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"доставка домашних обедов супчик","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказа еды киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"чебуреки на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка обедов киров домашняя","2019-07-01 - 2019-09-09","1.00","1.00","100.00","9.00","9.00","0.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","",""
"заказать еду","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказать пиццу в киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"горячие обеды киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"купить пельмени","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"43 еду киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","24.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","24.00",""
"лапша wok киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"где поесть рамен в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","16.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"заказ обеда город киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"сервисы по заказу еды","2019-07-01 - 2019-09-09","1.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"заказать на дом обед коров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","4.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"киров пицца бесплатная доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","5.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"купить пиццу с доставкой в кирове","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"дымидома43","2019-07-01 - 2019-09-09","1.00","0.00","0.00","10.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказ еду на дом киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"шумовка еда киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"шумовка киров адреса","2019-07-01 - 2019-09-09","1.00","0.00","0.00","3.00","","0.00","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"замороженные чебуреки купить","2019-07-01 - 2019-09-09","1.00","0.00","0.00","14.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"купить пельмени от производителя унинского мясокомбината пельмени","2019-07-01 - 2019-09-09","1.00","0.00","0.00","11.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"киров купить чизкейки","2019-07-01 - 2019-09-09","1.00","0.00","0.00","6.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"пельмени доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","12.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"чебуреки на воровского","2019-07-01 - 2019-09-09","1.00","0.00","0.00","8.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"чебуреки в салафане","2019-07-01 - 2019-09-09","1.00","0.00","0.00","15.00","","0.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"тот самый чебурек киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"кресло-чебурек киров","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пивные тарелки доставка","2019-07-01 - 2019-09-09","1.00","1.00","100.00","1.00","1.00","0.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"паста киров доставка","2019-07-01 - 2019-09-09","1.00","0.00","0.00","9.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"шумовка киров пицца отзывы","2019-07-01 - 2019-09-09","1.00","0.00","0.00","2.00","","0.00","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"пицца в кирове за 200 рублей","2019-07-01 - 2019-09-09","1.00","0.00","0.00","7.00","","0.00","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
