"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"киров по чем чебуреки в данаре","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"пельмени натуральные киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказать еду домой в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказ еды в кирове сайты","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"пельмени впрок киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"доставка пиццы по кирову","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"комплексные обеды с доставкой киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"блинчики забрано киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"киров доставка продуктов","2019-07-04 - 2019-10-04","1.00","0.00","0.00","28.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","28.00",""
"заказать доставку закусок","2019-07-04 - 2019-10-04","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказать чизкейк у полины филимоновой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"еду43 ру","2019-07-04 - 2019-10-04","1.00","0.00","0.00","36.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","36.00",""
"заказать лапша","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"производители салатов в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"заказать еду вкусную киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"доставка выпечки на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","27.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","27.00",""
"кафе сушилка киров официальный сайт меню цены","2019-07-04 - 2019-10-04","1.00","0.00","0.00","37.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","37.00",""
"блины на дом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"доставка удона город киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","",""
"заказ еды киров шумовка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказать пол порции супа","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"чебуреки цена за штуку киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"пельмени из пижанки сельские где купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"готовая еда на неделю киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров пельмени липецкие","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"езаказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"цена чебуреков в чепецке","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"где купить чебуреки в с бараниной в кирове","2019-07-04 - 2019-10-04","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"http://vkus43.ru/","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"где в кирове хорошие блины","2019-07-04 - 2019-10-04","1.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"радушные пельмени киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"чебуреки на доставку","2019-07-04 - 2019-10-04","1.00","0.00","0.00","24.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","24.00",""
"чебуреки киров свободы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"заказ десертов на дом в кирове","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"заказ по городу кирову еда","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"пицца детская купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"пельмени по акции киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"пиццу заказать","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"чебурек на заказ","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"где в чижах покушать суп киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"супы доставка на дом киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"киров пельмени акция","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка горячих напитков киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"киров зака салат","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"00520","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"пельмени толмачев где купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать китайскую.лапшу киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказать чебуреки на дом киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"вкусноблинов киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"тел слаты на сквере кирова","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"доставка грузинской еды киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"кресло чебурек в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"пицца доставка бесплатно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"роллы доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"пиццу купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"киров купить листья салата частные объявления","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"супчик доставка еды на дом из столовых кирова","2019-07-04 - 2019-10-04","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"пиво калинина 40","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"доставка мяса готового киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"заказать куриный суп на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"чизкейк заказать киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказать пельмени с доставкой в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"киров.чебуреки как раньше доставка.ру","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"чебуреки коммунальная киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"свиное ухо пельменная киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказ пиццы 50 см киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"заказать роллы домой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"доставка еды киров закуски","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать десерты на дом киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"минимальная сумма заказа 450","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"роллы доставка на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","18.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","18.00",""
"пиццен","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"киров еда на доставку","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ljcnfdrf tls rbhjd ctvtqyjt rfat","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"чебуреки с мясом киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"шумовка цены кафэ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"пивная тарелка на вынос киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"вкусно блин киров акции","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"где заказать роллы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"доставка суши на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","27.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","27.00",""
"бизроллы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"зуевские пельмени где купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"купить салат в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказ киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"салаты в креманках доставка киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"моя столовая калинина 40","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"киров вкусные роллы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"пивная тарелка меню","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"где можно заказать в г кирове пиццу с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"суши пицца калинина 40","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка еды мельников максим сергеевич едаки вк","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"заказать пиццу с доставкой киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"пельмени толмачев киров акции","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"где можно заказать вкусный чизкейк в кирово-чепецке","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"киров пицца с доставкой круглосуточно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"обед доставка ктро","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"чебуречки в фестивале гранд бар в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"шумовка улица калинина","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"бленьы до крова","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"где можно заказать лапшу в коробочках киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"пельмени с доставкой в кирове круглосуточно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"спк заказ еды киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","40.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","40.00",""
"супы заказать киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"чебуреки 43","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"самая мясная пицца киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"заказать онлайн еду киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"киров чебуречная на","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пельмени костино купить в кирове","2019-07-04 - 2019-10-04","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","",""
"заказ на дом суши роллы","2019-07-04 - 2019-10-04","1.00","0.00","0.00","27.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","27.00",""
"пельмени котельнич купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"десертайм киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать еду с доставкой киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"пельмени со сливками кировская область","2019-07-04 - 2019-10-04","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"горячий чебурек олимпийский кировской области","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"киров блин","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"где в кирове можно купить крымские чебуреки","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"шумовка -это","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"еда заказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"свежие десерты киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","13.00","13.00","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","1.00","100.00","13.00","13.00"
"киров вок лапша где купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать ролл в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"чебуреки замороженные киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"заказ еды 43 киров официальный сайт киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"доставка китайской лапши в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"заказать пиццу в кирове от 500","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказ вторых блюд и салатов на мероприятие в кирове","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"чизкейки с доставкой в кирове","2019-07-04 - 2019-10-04","1.00","1.00","100.00","10.00","10.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","10.00","10.00","0.00","0.00","","",""
"zakaz45","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"заказать салаты на праздник нововятск","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"43еду киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"заказ закусок киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка чебуреки те самые киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"доставка еды киров куриный суп","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"супы круглосуточная доставка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"три медведя доставка еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пельмени от петровича киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","25.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","25.00",""
"пельменная киров на московской","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"самый вкусный чизкейк в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"заказать вкусные роллы с бесплатной доставкой киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"доставка суп на дом","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"вятский чебурек доставка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"пица","2019-07-04 - 2019-10-04","1.00","0.00","0.00","14.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","14.00",""
"доставка детской еды на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
